FIRST NAME;LAST NAME;AGE;GENDER;OCCUPATION;PHONE NUMBER
Alice;Martin;28;Female;Doctor;+33 6 12 34 56 78
Emily;Smith;42;Female;Engineer;+44 20 7123 4567
Sophie;Johnson;35;Female;Teacher;+33 6 98 76 54 32
Alex;Williams;29;Male;Lawyer;+44 20 8234 5678
Gabriel;Brown;32;Male;Nurse;+33 6 45 67 89 01
Charlotte;Davis;39;Female;Plumber;+44 20 9345 6789
Lucas;Wilson;31;Male;Artist;+33 6 56 78 90 12
Leah;Anderson;27;Female;Software Developer;+44 20 7456 7890
Thomas;Johnson;36;Male;Chef;+33 6 67 89 01 23
Camille;Roberts;30;Female;Engineer;+44 20 8567 8901
